config,N,K,task,trial,point_idx,tau,val_nrmse,test_nrmse,val_score,test_score
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,1,0.1096069665318704,1.0313050288382684,0.981200022947388,-1.0313050288382684,-0.981200022947388
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,2,0.15017108890398193,1.033011990098475,0.9768889410876098,-1.033011990098475,-0.9768889410876098
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,3,0.20574746894441603,1.03932496975415,0.9819409572704249,-1.03932496975415,-0.9819409572704249
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,4,0.28189194928259564,1.0504851224793963,0.9895148005753214,-1.0504851224793963,-0.9895148005753214
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,5,0.38621651813276453,1.051049635741204,0.9866476552375154,-1.051049635741204,-0.9866476552375154
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,6,0.529150262212918,1.0409054075707311,0.9991409619134214,-1.0409054075707311,-0.9991409619134214
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,7,0.7249819385087718,1.0478217245994277,1.0155112732592748,-1.0478217245994277,-1.0155112732592748
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,8,0.9932883883792685,1.0492761591613786,0.9942317138828539,-1.0492761591613786,-0.9942317138828539
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,9,1.3608915892697748,1.0395640452520476,0.9805679579446558,-1.0395640452520476,-0.9805679579446558
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,10,1.864539985982451,1.0511053420392815,0.980989038810142,-1.0511053420392815,-0.980989038810142
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,11,2.554582148011408,1.0628490273956201,0.9905739635947167,-1.0628490273956201,-0.9905739635947167
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,1,12,3.5,1.0657916257437405,1.0004686604135955,-1.0657916257437405,-1.0004686604135955
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,0,0.07999999999999999,0.9590494055143263,0.968537283820807,-0.9590494055143263,-0.968537283820807
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,1,0.1096069665318704,0.9538199543486673,0.9617751714561271,-0.9538199543486673,-0.9617751714561271
N60_K13_baseline,60,13,controlled_d20_white_plus_distractor,2,2,0.15017108890398193,0.9529968185294061,0.9539747953684575,-0.9529968185294061,-0.9539747953684575
